id,bank_org,address,coords,exchange_rates
-7933603180889496149,БНБ-Банк,"Минск, пр-т Победителей, 65 (ТЦ «Замок»)","53.926345885399,27.518212789688","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.905""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.901""}]"
-688876398603226544,БСБ Банк,"г.Минск, Независимости пр., 154","53.936303,27.67323","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.905""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.9""}]"
1872098186268623062,Нео Банк Азия,"г. Минск, ул. В. Хоружей, 20-2","53.92192,27.567184","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.905""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.89""}]"
3123870321302215705,СтатусБанк,"Минск и Минский р-н, г. Минск, пр. Независимости, 154","53.936242242177,27.67325231314","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.905""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.9""}]"
8284232035231901285,БНБ-Банк,"Минск, пр-т Дзержинского, 104 (ТЦ «Титан»)","53.860293567286,27.478949183852","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.907""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.889""}]"
29299016419748506,БНБ-Банк,"Минск, пр-т Независимости, 87а (площадь Калинина)","53.923747070641,27.605639559524","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.907""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.889""}]"
4211254804290407189,БНБ-Банк,"Минск, пр-т Независимости, 173 (БЦ Futuris)","53.941246,27.667212","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.907""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.889""}]"
8679995939908690999,БНБ-Банк,"г. Минск, ул. Бобруйская, 6-10","53.890245,27.554384","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.907""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.889""}]"
-8164407223315277267,БСБ Банк,"г.Минск, Победителей пр., 23/4","53.91103,27.540587","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.907""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.9""}]"
-2060403934432797930,БСБ Банк,"г.Минск, Тимирязева ул., 67","53.925193,27.50835","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.907""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.9""}]"
