address,bank_name,sell_course,buy_course,lat,lon
"Минск, пр-т Победителей, 65 (ТЦ «Замок»)",БНБ-Банк,2.9,2.907,53.926345885399,27.518212789688
"Минск, пр-т Дзержинского, 104 (ТЦ «Титан»)",БНБ-Банк,2.809,2.907,53.860293567286,27.478949183852
"Минск, пр-т Независимости, 87а (площадь Калинина)",БНБ-Банк,2.809,2.907,53.923747070641,27.605639559524
"Минск, ул. Притыцкого, 29 (ТЦ «Тивали»)",БНБ-Банк,2.809,2.907,53.908080068822,27.484298965637
"Минск, пр-т Независимости, 173 (БЦ Futuris)",БНБ-Банк,2.809,2.907,53.941246,27.667212
"г. Минск, ул. Бобруйская, 6-10",БНБ-Банк,2.809,2.907,53.890245,27.554384
"Минский район, Боровлянский с/с, 74/1, район д. Боровая",БНБ-Банк,2.8905,2.907,53.964443,27.624021
"г. Минск, ул. Шаранговича, 21",БНБ-Банк,2.8905,2.907,53.88496,27.451042
"г. Минск, ул. Маяковского, 6",БНБ-Банк,2.8905,2.907,53.884662,27.56573
"Минск, ул. Рудобельская,3",БНБ-Банк,2.8905,2.907,53.861235,27.638305
"г.Минск, Независимости пр., 154",БСБ Банк,2.895,2.907,53.936303,27.67323
"г.Минск, Денисовская ул., 8",БСБ Банк,2.89,2.907,53.872121,27.57278
"Минск и Минский р-н, г. Минск, ул. Денисовская, д. 8А",СтатусБанк,2.895,2.907,53.871006667556,27.571597495196
"Минск и Минский р-н, Минская обл., Минский район, Боровлянский с/с, 74A, район д. Боровая",СтатусБанк,2.895,2.907,53.964257201888,27.624696331462
"Минск и Минский р-н, г. Минск, ул. Денисовская, д. 8 ТЦ ""Корона-сити""",СтатусБанк,2.896,2.907,53.87183396305,27.573188911131
"Минск и Минский р-н, г. Минск, пр. Независимости, 154",СтатусБанк,2.895,2.907,53.936242242177,27.67325231314
"Минск и Минский р-н, г. Минск, ул.Притыцкого, 77",СтатусБанк,2.893,2.907,53.90572266052,27.458047042538
"Минск и Минский р-н, г. Минск, ул. Щорса,11",СтатусБанк,2.893,2.907,53.885703,27.514966
"Минск и Минский р-н, г. Минск, ул. Казимировская, 6",СтатусБанк,2.896,2.907,53.917397930647,27.429621903898
"Минск и Минский р-н, г. Минск, пр. Независимости, 177-6. Секция 2",СтатусБанк,2.895,2.907,53.946003597018,27.682899106418
"Минск и Минский р-н, г. Минск, пр. Партизанский, 85",СтатусБанк,2.895,2.907,53.874691185582,27.632101862436
"Минск и Минский р-н, Минск, пр. Партизанский, 150А",СтатусБанк,2.893,2.907,53.860325354343,27.673987238411
"г.Минск, Победителей пр., 65",БСБ Банк,2.9,2.908,53.926449,27.518349
"г. Минск, ул. Уманская, 54 (ТЦ ""Глобо"")",МТБанк,2.892,2.908,53.874918,27.498212
"г. Минск, ул. Уманская, 54, ТЦ «Глобо», 1 этаж",МТБанк,2.892,2.908,53.874532,27.498716
"г. Минск, ул. Бобруйская, 6 (ТЦ ""Galileo"", 3-й этаж)",МТБанк,2.892,2.908,53.89020145635,27.554396457999
"г. Минск, пр-т Победителей, 65",МТБанк,2.892,2.908,53.926266,27.517472
"Минский район, пересечение Логойского тракта и МКАД (ТРЦ «EXPOBEL»)",МТБанк,2.892,2.908,53.964443,27.624021
"г. Минск, ул. Кальварийская, 24",МТБанк,2.892,2.908,53.908039,27.527327
"г. Минск, Минский район, Боровлянский сельсовет, 97 (ТЦ ""ОМА"")",МТБанк,2.892,2.908,53.967399,27.625198
"г. Минск, ул. Казимировская, 6 (магазин Евроопт)",МТБанк,2.892,2.908,53.917538,27.429321
"г. Минск, ул. Уборевича, 176",МТБанк,2.892,2.908,53.835584,27.606082
"г. Минск, пр-т Партизанский, 182 (GREEN)",МТБанк,2.892,2.908,53.84894,27.699067
"г. Минск, ул. Леонида Левина, 8",МТБанк,2.892,2.908,53.866476,27.529689
"г. Минск, пр-т Партизанский 79 (ТЦ Prizma)",МТБанк,2.892,2.908,53.876573,27.625863
"г. Минск, ул. Бобруйская, 6 (ТРЦ Galileo)",Банк РРБ,2.895,2.908,53.890128,27.554689
"г. Минск, деревня Цна, Папернянский сельсовет, Минский район, ул. Юбилейная улица, 8",Банк РРБ,2.895,2.908,53.971657,27.592814
"г. Минск, ул. Коммунистическая, 49, пом.1 (вход со стороны гостиницы ""Беларусь"")",Банк Дабрабыт,2.895,2.909,53.9142,27.5523
"г.Минск, Победителей пр., 23/4",БСБ Банк,2.89,2.909,53.91103,27.540587
"г.Минск, Свободы пл., 4",БСБ Банк,2.895,2.909,53.903868,27.557295
"г.Минск, Купалы ул., 25",БСБ Банк,2.895,2.909,53.905529,27.561406
"г.Минск, Свободы пл., 23",БСБ Банк,2.895,2.909,53.903868,27.557295
"г. Минск, ул. Красная, 7",Альфа Банк,2.88,2.91,53.912553333894,27.571371110625
"г.Минск, Дзержинского пр, 80",БСБ Банк,2.9,2.91,53.86925,27.489949
"г.Минск, Шафарнянская ул., 11",БСБ Банк,2.895,2.91,53.946666,27.682173
"г.Минск, Матусевича ул., 72",БСБ Банк,2.895,2.91,53.918342,27.450386
"г.Минск, Сеницкий сельсовет, 84,",БСБ Банк,2.895,2.91,53.835489,27.505174
"Минск и Минский р-н, г. Минск, ул. Тимирязева, д.123, корп.1.",СтатусБанк,2.89,2.91,53.933444,27.455237
"Минск и Минский р-н, г. Минск, Долгиновский тракт, д.178",СтатусБанк,2.89,2.91,53.964215,27.535861
"г. Минск, ул. Налибокская, 1-1 (ТЦ Караван)",Банк РРБ,2.885,2.91,53.926499,27.440172
"г. Минск, ул. Тимирязева, 74 А (ТЦ Palazzo)",Банк РРБ,2.885,2.91,53.927029,27.509846
"г. Минск, пр-т Независимости, 154 (ТЦ Корона)",Банк РРБ,2.89,2.91,53.936418,27.67324
"г. Минск, ул. Притыцкого, 156-32 (ТЦ Green City)",Банк РРБ,2.89,2.91,53.90867,27.43233
ул. Кропоткина 44,Технобанк,2.89,2.91,53.9165649943,27.5572592454
"г. Минск, ул. Володарского, 4",Технобанк,2.89,2.91,53.8982465234,27.549922746
"г. Минск, ул. Руссиянова, 8",Технобанк,2.89,2.91,53.9430013296,27.687411411
"г. Минск, пр.Независимости, 117а, (вход со стороны ул.Филимонова)",Технобанк,2.89,2.91,53.9318911887,27.637019584
"г. Минск, ул. Маяковского,6",Технобанк,2.89,2.91,53.884753825866,27.565779364918
"г. Минск, ул. Мельникайте, 8",Технобанк,2.89,2.91,53.9082470096,27.5441675595
"г. Минск, пр. Победителей, 65-1, ТРЦ «Замок»",Технобанк,2.89,2.91,53.9267705851,27.5178023314
"г. Минск, ул. Притыцкого, 156, ТРЦ «Green City»",Технобанк,2.89,2.91,53.9088802219,27.4326187252
"г. Минск, ул.П.Мстиславца, 11, ТРЦ «Dana Mall»",Технобанк,2.885,2.91,53.9341762659,27.6518281333
ул. П.Мстиславца 11,Технобанк,2.885,2.91,53.9334687165,27.65238767
"ул. Бобруйская 6 ТЦ ""Галилео""",Технобанк,2.885,2.91,53.8904865167,27.5537759587
"г. Минск, пр-т Победителей, 9",Технобанк,2.885,2.91,53.9085257452,27.5484698228
"Минский район, д. Копище, ул. Леонардо да Винчи, 3 (Новая Боровая)",Технобанк,2.885,2.91,53.9519026433,27.6645249696
ул. Уборевича 176,Технобанк,2.885,2.91,53.835465668881,27.605729532758
"Минский район, д. Копище, ул. Авиационная, 33 (Новая Боровая)",Технобанк,2.885,2.91,53.960710660744,27.660962996028
"Минский район, Боровлянский с/с, 74/1, район д. Боровая (ТЦ «Экспобел»)",Технобанк,2.89,2.91,53.964046245997,27.624229877598
"Минский р-н, д. Таборы, рынок «Новый Лебяжий»",Технобанк,2.885,2.91,53.904282847002,27.336878549856
"г. Минск, ул. Маяковского,6",Технобанк,2.89,2.91,53.884753825866,27.565779364918
г.Минск Глебки 5 (1 этаж),Технобанк,2.885,2.91,53.9090990667,27.4703613142
"ул. Налибокская 1 ТЦ ""Караван""",Технобанк,2.885,2.91,53.9265261516,27.4403714051
ул.Кропоткина 44,Технобанк,2.89,2.91,53.9165649943,27.5572592454
"ул.Тимирязева, 74А",Технобанк,2.885,2.91,53.9269854933,27.5095605885
"г. Минск, пр. Дзержинского, 104 - 110 (ТРЦ Титан)",Банк РРБ,2.887,2.912,53.861872,27.480399
"г. Минск, ул. Московская, 14",Банк ВТБ (Беларусь),2.89,2.914,53.888775560275,27.538564865745
"г. Минск, ул. Гикало, 3",Банк ВТБ (Беларусь),2.89,2.914,53.916078090111,27.587845944404
"г. Минск, пр-т Независимости, 93",Банк ВТБ (Беларусь),2.89,2.914,53.924411007886,27.612656482803
"г. Минск, ул. Николы Теслы, д. 20",Банк ВТБ (Беларусь),2.89,2.914,53.868388066341,27.546016175266
"г. Минск, ул. Притыцкого, 91",Банк ВТБ (Беларусь),2.89,2.914,53.905660290015,27.441811514409
"г. Минск, пр-т Независимости, 202",Банк ВТБ (Беларусь),2.89,2.914,53.952324328667,27.715100874762
"г. Минск, пр-т Независимости, 168/2",Банк ВТБ (Беларусь),2.89,2.914,53.945203670705,27.690330525131
